Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
ADVENTHTL,Advent Hotels International Limited,-4.08,6.47,-6.8,-5.49,0.0
ADVENZYMES,Advanced Enzyme Technologies Limited,10.84,-1.6,-9.6,-6.53,0.0
AEGISLOG,Aegis Logistics Limited,-8.23,3.23,6.75,3.11,0.0
AEGISVOPAK,Aegis Vopak Terminals Limited,-3.44,0.39,-6.66,-1.65,-8.5
AEPL,Artemis Electricals and Projects Limited,10.85,-8.08,-8.12,-4.25,0.0
AEQUS,Aequs Limited,-0.18,-7.03,3.28,-1.8,0.0
AEROENTER,Aeroflex Enterprises Limited,12.68,-8.93,2.58,1.24,0.0
AEROFLEX,Aeroflex Industries Limited,-18.38,13.52,12.94,7.17,0.0
AERONEU,Aeroflex Neu Limited,-11.2,9.19,-7.59,-10.43,0.0
AETHER,Aether Industries Limited,-6.53,-9.09,10.93,7.87,-3.8
AFCONS,Afcons Infrastructure Limited,14.22,2.73,-17.2,-13.84,-14.3
AFFLE,Affle 3i Limited,-3.39,-0.53,2.95,2.19,14.5
AFFORDABLE,Affordable Robotic & Automation Limited,1.91,12.32,13.36,8.79,5.0
AFIL,Akme Fintrade (India) Limited,6.89,-14.03,-2.91,-5.23,0.0
AFSL,Abans Financial Services Limited,1.53,-11.07,-3.74,-1.75,0.0
AGARIND,Agarwal Industrial Corporation Limited,4.88,5.81,-2.95,-4.5,2.9
AGARWALEYE,Dr. Agarwal's Health Care Limited,8.44,-22.56,6.28,2.56,0.0
AGI,AGI Greenpac Limited,-7.09,0.74,24.5,18.69,0.0
AGIIL,Agi Infra Limited,1.58,-5.38,-11.58,-7.04,3.9
AGL,Allcargo Global Limited,-4.24,-5.94,3.75,2.92,0.4
AGRITECH,Agri-Tech (India) Limited,7.34,-5.87,7.8,4.71,0.0
AGROPHOS,Agro Phos India Limited,-15.78,6.81,4.56,5.21,0.0
AGSTRA,AGS Transact Technologies Limited,9.13,-6.69,-3.85,-4.92,0.0
AHCL,Anlon Healthcare Limited,10.23,-2.03,-7.12,-5.4,0.0
AHLADA,Ahlada Engineers Limited,-15.85,2.0,6.47,6.66,0.0
AHLEAST,Asian Hotels (East) Limited,-6.57,1.28,-0.88,-0.82,0.0
AHLUCONT,Ahluwalia Contracts (India) Limited,9.3,1.42,-12.75,-6.16,0.0
AHLWEST,Asian Hotels (West) Limited,-3.57,3.86,-0.43,-1.24,0.0
AIAENG,AIA Engineering Limited,4.22,-4.66,-12.61,-8.35,0.0
AIIL,Authum Investment & Infrastructure Limited,-5.44,-21.68,16.23,9.83,12.9
AIRAN,Airan Limited,3.42,-11.3,3.36,4.14,0.0
AIROLAM,Airo Lam limited,-2.21,5.56,3.78,3.83,-7.9
AJANTPHARM,Ajanta Pharma Limited,3.32,-0.12,-7.55,-5.69,0.0
AJAXENGG,Ajax Engineering Limited,-6.54,9.13,0.65,-1.59,0.0
AJMERA,Ajmera Realty & Infra India Limited,-1.29,-3.79,4.67,3.05,-13.4
AJOONI,Ajooni Biotech Limited,-1.92,-1.65,1.75,0.74,9.8
AKASH,Akash Infra-Projects Limited,6.84,-5.18,5.95,3.04,0.0
AKCAPIT,AK Capital Services Limited,-7.19,5.29,3.82,3.29,0.0
AKG,Akg Exim Limited,8.81,-7.54,4.3,7.0,0.0
AKI,AKI India Limited,3.28,6.24,21.26,11.69,0.0
AKSHAR,Akshar Spintex Limited,21.48,-7.52,-12.1,-5.75,0.0
AKSHARCHEM,AksharChem India Limited,5.94,-11.78,11.64,6.92,0.0
AKSHOPTFBR,Aksh Optifibre Limited,-12.94,-3.12,15.32,10.84,0.0
AKUMS,Akums Drugs and Pharmaceuticals Limited,-2.73,-6.34,-0.28,2.15,0.0
ALANKIT,Alankit Limited,21.56,9.29,8.26,5.03,0.0
ALBERTDAVD,Albert David Limited,-3.59,-0.35,5.73,3.62,0.0
ALEMBICLTD,Alembic Limited,-13.46,15.66,7.07,1.42,0.0
ALGOQUANT,Algoquant Fintech Limited,-19.22,15.07,7.86,3.8,0.0
ALICON,Alicon Castalloy Limited,1.65,1.72,-0.7,-2.33,0.0
ALIVUS,Alivus Life Sciences Limited,14.79,-0.78,-4.31,-2.6,0.0
ALKALI,Alkali Metals Limited,5.19,-2.68,-5.99,-4.48,-9.6
ALKEM,Alkem Laboratories Limited,0.38,11.65,-13.48,-9.73,0.0
ALKYLAMINE,Alkyl Amines Chemicals Limited,-4.26,2.33,0.12,-0.86,-0.2
ALLCARGO,Allcargo Logistics Limited,-5.76,7.59,5.41,1.78,0.0
ALLDIGI,Alldigi Tech Limited,-7.67,-7.28,2.52,-2.7,-2.6
ALLTIME,All Time Plastics Limited,-9.04,8.72,2.24,2.51,0.0
ALMONDZ,Almondz Global Securities Limited,7.79,10.53,-4.72,1.25,0.0
ALOKINDS,Alok Industries Limited,-6.22,0.21,9.55,5.68,0.0
ALPA,Alpa Laboratories Limited,-24.24,11.1,4.42,5.41,0.0
ALPHAGEO,Alphageo (India) Limited,1.77,7.13,-0.79,0.92,0.0
AMAGI,Amagi Media Labs Limited,-6.56,0.59,6.64,3.5,0.0
AMANTA,Amanta Healthcare Limited,4.88,-7.44,-1.48,-0.78,0.0
AMBALALSA,Ambalal Sarabhai Enterprises Limited,8.59,12.16,-9.48,-7.18,-12.3
AMBER,Amber Enterprises India Limited,17.81,-9.93,-5.38,-3.62,-5.8
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,-5.3,-9.01,10.34,6.28,0.0
AMBIKCO,Ambika Cotton Mills Limited,8.13,-1.49,1.97,0.87,0.0
AMBUJACEM,Ambuja Cements Limited,-16.39,9.92,3.02,0.39,1.4
AMDIND,AMD Industries Limited,-15.21,17.24,3.84,2.8,0.0
AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,4.94,-12.35,4.23,2.26,0.0
AMJLAND,Amj Land Holdings Limited,-15.78,9.87,-3.98,-5.38,0.0
AMNPLST,Amines & Plasticizers Limited,11.0,-8.77,-0.35,-0.25,0.0
AMRUTANJAN,Amrutanjan Health Care Limited,1.38,-9.8,6.81,7.04,0.0
ANANDRATHI,Anand Rathi Wealth Limited,-3.94,-14.99,19.57,15.63,3.4
ANANTRAJ,Anant Raj Limited,3.82,4.93,-3.35,-2.31,12.1
ANDHRAPAP,ANDHRA PAPER LIMITED,-13.41,-2.26,15.61,12.66,-10.0
ANDHRSUGAR,The Andhra Sugars Limited,22.2,-12.13,-2.52,-3.28,-8.8
ANGELONE,Angel One Limited,5.25,-4.07,4.79,3.79,0.0
ANIKINDS,Anik Industries Limited,6.3,0.79,-2.01,0.16,0.0
ANKITMETAL,Ankit Metal & Power Limited,20.69,-8.91,-4.79,-1.32,3.3
ANMOL,Anmol India Limited,14.74,-5.88,-2.12,-0.32,0.0
ANSALAPI,Ansal Properties & Infrastructure Limited,-8.9,10.21,3.5,3.9,0.0
ANTELOPUS,Antelopus Selan Energy Limited,8.63,1.52,-16.52,-7.01,0.0
ANTGRAPHIC,Antarctica Limited,6.86,-8.12,-0.43,-0.87,0.0
ANTHEM,Anthem Biosciences Limited,6.54,-3.05,-9.49,-6.03,0.0
ANUHPHR,Anuh Pharma Limited,-5.6,12.98,-1.86,0.17,0.0
ANUP,The Anup Engineering Limited,-14.18,-5.5,14.1,12.68,0.0
ANURAS,Anupam Rasayan India Limited,6.84,-17.43,8.39,5.29,10.7
APARINDS,Apar Industries Limited,3.21,6.3,-10.63,-10.99,0.0
APCL,Anjani Portland Cement Limited,-4.51,5.48,11.62,6.98,-1.1
APCOTEXIND,Apcotex Industries Limited,-16.44,13.7,6.34,3.53,0.7
APEX,Apex Frozen Foods Limited,9.82,1.4,-10.13,-6.45,0.0
APLAPOLLO,APL Apollo Tubes Limited,6.74,-4.17,-13.1,-7.45,0.0
APLLTD,Alembic Pharmaceuticals Limited,-2.91,8.83,-7.63,-2.26,0.0
APOLLO,Apollo Micro Systems Limited,-17.44,6.65,8.4,3.2,0.0
APOLLOHOSP,Apollo Hospitals Enterprise Limited,-6.65,13.45,-11.7,-7.95,-6.2
APOLLOPIPE,Apollo Pipes Limited,12.35,-2.32,-10.67,-6.72,0.0
APOLLOTYRE,Apollo Tyres Limited,-27.75,11.16,5.0,4.48,0.0
APOLSINHOT,Apollo Sindoori Hotels Limited,-2.99,0.72,-0.91,-4.67,14.0
APTECHT,Aptech Limited,21.2,4.15,-15.21,-10.95,0.0
APTUS,Aptus Value Housing Finance India Limited,-9.43,-6.13,4.52,3.6,0.0
AQYLON,Aqylon Nexus Limited,-12.03,-1.68,18.09,7.71,-11.8
ARCHIDPLY,Archidply Industries Limited,7.16,0.54,2.16,0.08,-13.2
ARCHIES,Archies Limited,-9.05,7.26,0.64,2.62,14.2
ARE&M,Amara Raja Energy & Mobility Limited,28.72,-13.53,-5.04,-4.34,0.0
ARENTERP,Rajdarshan Industries Limited,8.44,-10.65,-2.58,-3.67,0.0
ARFIN,Arfin India Limited,-11.97,-2.22,4.08,-0.41,0.0
ARIES,Aries Agro Limited,16.11,-12.8,-6.05,-3.06,0.0
ARIHANT,Arihant Foundations & Housing Limited,24.83,-8.42,-8.77,-7.17,0.0
ARIHANTCAP,Arihant Capital Markets Limited,-4.61,0.75,-3.39,-7.28,0.0
ARIHANTSUP,Arihant Superstructures Limited,11.26,-6.03,-7.23,-3.62,0.0
ARIS,Arisinfra Solutions Limited,3.81,-14.74,5.31,1.59,-4.3
ARKADE,Arkade Developers Limited,1.56,5.5,8.1,5.76,0.0
ARMANFIN,Arman Financial Services Limited,12.38,-6.0,-1.69,-0.5,0.0
AROGRANITE,Aro Granite Industries Limited,11.01,9.11,-4.88,-2.22,0.0
ARROWGREEN,Arrow Greentech Limited,16.46,-11.48,7.34,5.08,0.9
ARSHIYA,Arshiya Limited,-16.58,-1.8,4.74,4.57,0.0
ARSSBL,Anand Rathi Share and Stock Brokers Limited,-3.2,-4.29,3.28,1.92,0.0
ARTEMISMED,Artemis Medicare Services Limited,4.67,-3.3,2.03,5.35,7.7
ARTNIRMAN,Art Nirman Limited,-19.52,2.13,9.05,5.34,0.0
ARVEE,Arvee Laboratories (India) Limited,14.6,-0.16,-2.69,-1.21,0.0
ARVIND,Arvind Limited,-16.4,5.24,-1.54,-1.76,0.0
ARVINDFASN,Arvind Fashions Limited,-2.6,0.01,-12.84,-5.67,0.0
ARVSMART,Arvind SmartSpaces Limited,-11.61,14.58,-10.62,-5.4,0.0
ASAHIINDIA,Asahi India Glass Limited,-7.36,-2.8,1.94,2.81,0.0
ASAHISONG,Asahi Songwon Colors Limited,20.07,-0.6,-11.67,-8.46,0.0
ASAL,Automotive Stampings and Assemblies Limited,-4.57,2.6,-5.06,-3.61,0.0
ASALCBR,Associated Alcohols & Breweries Ltd.,-11.34,6.6,5.3,3.34,0.0
ASHAPURMIN,Ashapura Minechem Limited,-13.27,0.08,1.75,4.35,0.0
ASHIANA,Ashiana Housing Limited,9.7,-13.46,0.99,-0.41,0.0
ASHIKA,Ashika Credit Capital Limited,6.19,3.49,2.16,-2.88,0.0
ASHIMASYN,Ashima Limited,-3.82,-10.22,11.5,9.85,0.0
ASHOKA,Ashoka Buildcon Limited,2.02,-7.67,2.99,5.36,0.0
ASHOKAMET,Ashoka Metcast Limited,11.94,6.66,-5.11,-3.37,2.0
ASHOKLEY,Ashok Leyland Limited,24.08,-18.2,-8.22,-7.05,0.0
ASIANENE,Asian Energy Services Limited,21.48,2.51,-10.16,-7.56,0.0
ASIANHOTNR,Asian Hotels (North) Limited,-9.04,4.89,-0.77,1.71,0.0
ASIANPAINT,Asian Paints Limited,-7.33,2.9,1.76,-1.74,0.0
ASIANTILES,Asian Granito India Limited,8.18,9.21,-0.08,-0.93,0.0
ASKAUTOLTD,ASK Automotive Limited,4.99,-4.03,4.25,2.13,0.0
ASMS,Avio Smart Market Stack Limited,-9.96,7.48,-1.16,-3.36,0.0
ASPINWALL,Aspinwall and Company Limited,-15.21,7.2,4.84,2.65,0.0
ASTAR,Asian Star Company Limited,-26.52,6.13,15.09,10.08,0.0
ASTEC,Astec LifeSciences Limited,-3.25,-10.45,0.65,0.3,0.0
ASTERDM,Aster DM Healthcare Limited,-2.13,0.93,8.42,4.07,0.0
ASTRAL,Astral Limited,-7.83,4.4,6.39,3.13,0.0
ASTRAMICRO,Astra Microwave Products Limited,1.04,18.66,-14.33,-9.53,0.0
ASTRAZEN,AstraZeneca Pharma India Limited,-2.84,6.84,-8.16,-1.9,0.0
ASTRON,Astron Paper & Board Mill Limited,-14.63,3.31,13.11,10.22,11.1
ATALREAL,Atal Realtech Limited,4.31,-6.12,-3.7,-3.36,0.0
ATAM,Atam Valves Limited,-6.58,2.36,-1.54,-0.93,0.0
ATGL,Adani Total Gas Limited,7.24,14.98,-8.54,-4.0,0.0
ATHERENERG,Ather Energy Limited,-19.94,9.86,8.83,7.79,0.0
ATL,Allcargo Terminals Limited,-13.38,9.4,-12.62,-7.87,-9.0
ATLANTAA,ATLANTAA LIMITED,4.42,0.86,-3.75,-2.64,0.0
ATLANTAELE,Atlanta Electricals Limited,-9.19,5.07,6.54,4.72,0.0
ATLASCYCLE,Atlas Cycles (Haryana) Limited,0.15,4.32,-5.52,-5.9,0.0
ATUL,Atul Limited,-2.05,-4.9,-3.36,-2.33,0.0
ATULAUTO,Atul Auto Limited,25.49,-11.21,-10.17,-8.23,0.0
AUBANK,AU Small Finance Bank Limited,-1.14,-9.79,5.48,5.19,-10.8
AURIGROW,Auri Grow India Limited,-7.79,-14.06,12.27,7.03,0.0
AURIONPRO,Aurionpro Solutions Limited,3.58,-1.65,-10.23,-5.7,1.2
AUROPHARMA,Aurobindo Pharma Limited,-3.45,-3.12,8.15,7.25,0.0
AURUM,Aurum PropTech Limited,3.56,6.26,-11.33,-3.67,0.0
AUSOMENT,Ausom Enterprise Limited,1.93,-4.27,9.87,8.82,0.0
AUTOAXLES,Automotive Axles Limited,-7.32,14.22,-3.62,1.15,0.0
AUTOIND,Autoline Industries Limited,-1.07,-4.84,8.03,8.06,0.0
AVADHSUGAR,Avadh Sugar & Energy Limited,0.23,2.89,-3.07,-0.73,-11.5
AVALON,Avalon Technologies Limited,-5.6,6.73,-14.27,-11.45,-7.1
AVANTEL,Avantel Limited,-11.17,-3.35,-1.55,-2.02,0.0
AVANTIFEED,Avanti Feeds Limited,5.87,5.87,-10.65,-7.78,0.0
AVG,AVG Logistics Limited,7.99,0.64,1.0,4.88,10.1
AVL,Aditya Vision Limited,-22.1,-8.25,12.96,7.65,-0.9
AVONMORE,Avonmore Capital & Management Services Limited,-16.06,11.97,-7.37,-5.46,0.0
AVROIND,AVRO INDIA LIMITED,4.87,-13.85,9.46,6.59,0.0
AVTNPL,AVT Natural Products Limited,12.71,-4.63,-1.44,-5.23,0.0
AWFIS,Awfis Space Solutions Limited,-3.66,-7.47,7.18,6.98,0.0
AWHCL,Antony Waste Handling Cell Limited,13.31,-3.92,3.9,4.1,0.0
AWL,AWL Agri Business Limited,7.33,0.77,-17.42,-12.23,0.0
AXISBANK,Axis Bank Limited,-10.07,-4.68,19.05,6.92,0.0
AXISCADES,AXISCADES Technologies Limited,-9.55,1.31,11.59,7.88,0.0
AXITA,Axita Cotton Limited,-10.13,11.61,4.13,1.71,0.0
AYE,Aye Finance Limited,8.28,-12.6,-0.98,-1.17,0.0
AYMSYNTEX,AYM Syntex Limited,-4.8,-4.07,6.22,6.18,8.4
AZAD,Azad Engineering Limited,14.82,-17.77,10.67,5.26,0.0
BAFNAPH,Bafna Pharmaceuticals Limited,14.46,-5.28,-2.32,-3.35,0.0
BAGFILMS,B.A.G Films and Media Limited,-5.68,10.15,-3.97,-2.01,0.0
BAIDFIN,Baid Finserv Limited,-7.74,11.77,1.65,1.74,0.0
BAJAJ-AUTO,Bajaj Auto Limited,9.95,-9.91,-5.92,-4.58,5.5
BAJAJCON,Bajaj Consumer Care Limited,-6.4,-6.49,3.95,1.18,0.0
BAJAJELEC,Bajaj Electricals Limited,7.15,13.48,-7.76,-4.94,0.0
BAJAJFINSV,Bajaj Finserv Limited,-2.1,-8.44,10.71,5.12,0.0
BAJAJHCARE,Bajaj Healthcare Limited,-15.65,6.69,-0.07,2.15,0.0
BAJAJHFL,Bajaj Housing Finance Limited,-6.83,4.87,11.6,9.66,0.0
BAJAJHIND,Bajaj Hindusthan Sugar Limited,-1.19,2.44,-3.06,-1.7,11.8
BAJAJHLDNG,Bajaj Holdings & Investment Limited,2.85,6.07,-6.31,-3.87,0.0
BAJAJINDEF,Indef Manufacturing Limited,1.05,-9.14,17.72,12.93,0.0
BAJAJST,Bajaj Steel Industries Limited,-8.13,-5.86,-1.9,-4.14,0.0
BAJEL,Bajel Projects Limited,15.81,9.51,-19.61,-15.6,0.0
BAJFINANCE,Bajaj Finance Limited,7.4,-5.39,-0.81,2.03,0.0
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,2.52,-13.35,1.47,1.32,0.0
BALAJITELE,Balaji Telefilms Limited,-1.09,-10.06,4.61,2.44,0.0
BALAMINES,Balaji Amines Limited,-19.39,18.41,-1.68,-1.78,0.0
BALAXI,BALAXI PHARMACEUTICALS LIMITED,-11.65,-4.67,10.24,7.57,0.0
BALKRISHNA,Balkrishna Paper Mills Limited,18.7,-4.89,-7.81,-3.58,0.0
BALKRISIND,Balkrishna Industries Limited,-12.23,7.41,2.48,1.39,0.0
BALMLAWRIE,Balmer Lawrie & Company Limited,-6.49,6.09,-8.05,-8.69,0.0
BALPHARMA,Bal Pharma Limited,10.67,2.39,-5.61,-2.77,0.0
BALRAMCHIN,Balrampur Chini Mills Limited,-7.09,-5.81,10.28,8.06,0.0
BALUFORGE,Balu Forge Industries Limited,26.53,-13.17,-4.57,-2.17,0.0
BANARBEADS,Banaras Beads Limited,6.61,2.65,7.17,4.22,0.0
BANARISUG,Bannari Amman Sugars Limited,-19.04,-1.74,6.81,1.92,0.0
BANCOINDIA,Banco Products (I) Limited,8.69,-9.28,9.4,5.55,0.0
BANDHANBNK,Bandhan Bank Limited,0.93,-5.79,4.49,3.59,0.8
BANG,Bang Overseas Limited,-6.33,5.95,7.86,7.65,-8.1
BANKA,Banka BioLoo Limited,-9.12,-6.38,5.73,1.99,0.0
BANKBARODA,Bank of Baroda,15.41,-9.18,-15.65,-10.25,0.0
BANKINDIA,Bank of India,-27.43,9.5,12.8,11.22,3.7
BANSALWIRE,Bansal Wire Industries Limited,33.22,-12.76,-11.57,-5.26,0.0
BANSWRAS,Banswara Syntex Limited,-6.66,7.39,1.82,2.78,0.0
BASF,BASF India Limited,17.72,0.38,-13.19,-10.47,0.0
BASML,Bannari Amman Spinning Mills Limited,-9.86,-1.99,15.35,12.72,0.0
BATAINDIA,Bata India Limited,9.02,-10.88,4.68,1.69,0.0
BATLIBOI,Batliboi Limited,-11.01,-2.82,12.68,10.94,0.0
BAYERCROP,Bayer Cropscience Limited,1.16,10.72,1.59,-0.97,0.0
BBL,Bharat Bijlee Limited,12.05,-10.49,-9.04,-8.12,0.0
BBOX,Black Box Limited,12.11,5.42,-5.06,-2.29,0.0
BBTC,The Bombay Burmah Trading Corporation Limited,6.51,0.78,-0.81,-0.54,0.0
BBTCL,B&B Triplewall Containers Limited,-7.4,-3.05,2.55,4.1,0.0
BCG,Brightcom Group Limited,2.37,1.7,-1.7,-1.06,0.0
BCLIND,Bcl Industries Limited,-1.37,-6.83,4.82,4.39,0.0
BCONCEPTS,Brand Concepts Limited,-29.9,14.15,12.88,9.87,0.0
BCPL,BCPL Railway Infrastructure Limited,6.92,-4.53,1.85,2.08,0.0
BDL,Bharat Dynamics Limited,0.7,6.37,-4.02,-2.0,0.0
BEARDSELL,Beardsell Limited,-1.05,-2.18,0.15,0.83,0.0
BECTORFOOD,Mrs. Bectors Food Specialities Limited,-20.34,9.47,8.01,3.51,0.0
BEDMUTHA,Bedmutha Industries Limited,1.02,3.05,5.73,3.26,0.0
BEEKAY,Beekay Steel Industries Limited,-2.44,6.8,-3.07,-1.22,0.0
BEL,Bharat Electronics Limited,18.26,-3.4,-9.21,-3.16,0.0
BELLACASA,Bella Casa Fashion & Retail Limited,-22.15,10.56,13.79,7.92,0.0
BELRISE,Belrise Industries Limited,3.34,13.51,-16.24,-8.81,0.0
BEML,BEML Limited,7.82,1.64,-4.13,-2.31,0.0
BENGALASM,Bengal & Assam Company Limited,-0.73,-23.82,10.65,6.71,-2.4
BEPL,Bhansali Engineering Polymers Limited,12.6,-18.11,6.37,6.32,0.0
BERGEPAINT,Berger Paints (I) Limited,10.81,-9.22,-7.81,-5.82,0.0
BESTAGRO,Best Agrolife Limited,-10.76,4.46,-3.24,-1.05,0.0
BETA,Beta Drugs Limited,-11.63,-9.3,8.2,6.64,0.0
BFINVEST,BF Investment Limited,23.9,-5.41,-16.37,-10.33,0.0
BFUTILITIE,BF Utilities Limited,9.08,-3.98,-9.47,-2.5,0.0
BGLOBAL,Bharatiya Global Infomedia Limited,18.29,-10.53,-7.26,-6.88,1.2
BGRENERGY,BGR Energy Systems Limited,13.04,5.64,-11.88,-8.9,0.0
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,14.22,-9.43,-2.49,-1.69,0.0
BHAGERIA,Bhageria Industries Limited,-2.6,18.17,-10.23,-8.61,0.0
BHAGYANGR,Bhagyanagar India Limited,-9.98,12.12,0.99,-0.12,0.0
BHANDARI,Bhandari Hosiery Exports Limited,-18.68,15.96,2.29,0.58,0.0
BHARATCOAL,Bharat Coking Coal Limited,4.72,7.81,3.33,3.21,0.0
BHARATFORG,Bharat Forge Limited,-8.35,3.15,-8.43,-3.95,0.0
BHARATGEAR,Bharat Gears Limited,-15.84,0.36,15.81,11.31,9.2
BHARATRAS,Bharat Rasayan Limited,-0.96,6.12,3.52,1.44,0.0
BHARATSE,Bharat Seats Limited,1.86,-5.81,-1.31,-0.78,0.0
BHARATWIRE,Bharat Wire Ropes Limited,19.09,-5.14,-8.63,-7.22,0.0
BHARTIARTL,Bharti Airtel Limited,-7.07,4.32,-0.6,-2.21,0.0
BHARTIHEXA,Bharti Hexacom Limited,-8.62,-7.35,1.98,0.86,0.5
BHEL,Bharat Heavy Electricals Limited,3.31,1.44,-7.27,-5.49,0.0
BI,Bilcare Limited,-17.45,3.78,12.79,12.11,-3.0
BIGBLOC,Bigbloc Construction Limited,-0.58,-0.57,-1.66,1.56,0.0
BIKAJI,Bikaji Foods International Limited,22.07,-5.64,-7.85,-5.92,0.0
BIL,Bhartiya International Limited,2.65,-13.08,5.37,0.99,0.0
BILVYAPAR,BIL VYAPAR LIMITED,3.86,1.71,-0.39,0.85,-11.9
