Symbol,Company Name,Promoter Delta %,FII Delta %,DII Delta %,Mutual Fund Delta %,Pledge Delta %
BLACKROSE,Black Rose Inds. Limited,0.0,0.0,0.0,0.0,0.0
BLAL,BEML Land Assets Limited,0.0,0.0,0.0,0.0,0.0
BLBLIMITED,BLB Limited,0.0,0.0,0.0,0.0,0.0
BLIL,Balmer Lawrie Investments Limited,0.0,0.0,0.0,0.0,0.0
BLISSGVS,Bliss GVS Pharma Limited,0.0,0.0,0.0,0.0,0.0
BLKASHYAP,B. L. Kashyap and Sons Limited,0.0,0.0,0.0,0.0,0.0
BLS,BLS International Services Limited,0.0,0.0,0.0,0.0,0.0
BLSE,BLS E-Services Limited,0.0,0.0,0.0,0.0,0.0
BLUECHIP,Blue Chip India Limited,0.0,0.0,0.0,0.0,0.0
BLUECOAST,Blue Coast Hotels Limited,0.0,0.0,0.0,0.0,0.0
BLUEDART,Blue Dart Express Limited,0.0,0.0,0.0,0.0,0.0
BLUEJET,Blue Jet Healthcare Limited,0.0,0.0,0.0,0.0,0.0
BLUESTARCO,Blue Star Limited,0.0,0.0,0.0,0.0,0.0
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,0.0,0.0,0.0,0.0,0.0
BLUSPRING,Bluspring Enterprises Limited,0.0,0.0,0.0,0.0,0.0
BMWVENTLTD,BMW Ventures Limited,0.0,0.0,0.0,0.0,0.0
BNAGROCHEM,BN Agrochem Limited,0.0,0.0,0.0,0.0,0.0
BNALTD,B & A Limited,0.0,0.0,0.0,0.0,0.0
BODALCHEM,Bodal Chemicals Limited,0.0,0.0,0.0,0.0,0.0
BOHRAIND,Bohra Industries Limited,0.0,0.0,0.0,0.0,0.0
BOMDYEING,Bombay Dyeing & Mfg Company Limited,0.0,0.0,0.0,0.0,0.0
BONLON,Bonlon Industries Limited,0.0,0.0,0.0,0.0,0.0
BORANA,Borana Weaves Limited,0.0,0.0,0.0,0.0,0.0
BOROLTD,Borosil Limited,0.0,0.0,0.0,0.0,0.0
BORORENEW,BOROSIL RENEWABLES LIMITED,0.0,0.0,0.0,0.0,0.0
BOROSCI,Borosil Scientific Limited,0.0,0.0,0.0,0.0,0.0
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,0.0,0.0,0.0,0.0,0.0
BOSCHLTD,Bosch Limited,0.0,0.0,0.0,0.0,0.0
BPCL,Bharat Petroleum Corporation Limited,0.0,0.0,0.0,0.0,0.0
BPL,BPL Limited,0.0,0.0,0.0,0.0,0.0
BRIGADE,Brigade Enterprises Limited,0.0,0.0,0.0,0.0,0.0
BRIGHOTEL,Brigade Hotel Ventures Limited,0.0,0.0,0.0,0.0,0.0
BRITANNIA,Britannia Industries Limited,0.0,0.0,0.0,0.0,0.0
BRNL,Bharat Road Network Limited,0.0,0.0,0.0,0.0,0.0
BROOKS,Brooks Laboratories Limited,0.0,0.0,0.0,0.0,0.0
BSE,BSE Limited,0.0,0.0,0.0,0.0,0.0
BSHSL,Bombay Super Hybrid Seeds Limited,0.0,0.0,0.0,0.0,0.0
BSL,BSL Limited,0.0,0.0,0.0,0.0,0.0
BSOFT,BIRLASOFT LIMITED,0.0,0.0,0.0,0.0,0.0
BTML,Bodhi Tree Multimedia Limited,0.0,0.0,0.0,0.0,0.0
BTTL,Bhilwara Technical Textiles Limited,0.0,0.0,0.0,0.0,0.0
BUILDPRO,Shankara Buildpro Limited,0.0,0.0,0.0,0.0,0.0
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,0.0,0.0,0.0,0.0,0.0
BVCL,Barak Valley Cements Limited,0.0,0.0,0.0,0.0,0.0
BYKE,The Byke Hospitality Ltd,0.0,0.0,0.0,0.0,0.0
CALSOFT,California Software Company Limited,0.0,0.0,0.0,0.0,0.0
CAMLINFINE,Camlin Fine Sciences Limited,0.0,0.0,0.0,0.0,0.0
CAMPUS,Campus Activewear Limited,0.0,0.0,0.0,0.0,0.0
CAMS,Computer Age Management Services Limited,0.0,0.0,0.0,0.0,0.0
CANBK,Canara Bank,0.0,0.0,0.0,0.0,0.0
CANFINHOME,Can Fin Homes Limited,0.0,0.0,0.0,0.0,0.0
CANHLIFE,Canara HSBC Life Insurance Company Limited,0.0,0.0,0.0,0.0,0.0
CANTABIL,Cantabil Retail India Limited,0.0,0.0,0.0,0.0,0.0
CAPACITE,Capacit'e Infraprojects Limited,0.0,0.0,0.0,0.0,0.0
CAPILLARY,Capillary Technologies India Limited,0.0,0.0,0.0,0.0,0.0
CAPITALSFB,Capital Small Finance Bank Limited,0.0,0.0,0.0,0.0,0.0
CAPLIPOINT,Caplin Point Laboratories Limited,0.0,0.0,0.0,0.0,0.0
CAPTRUST,Capital Trust Limited,0.0,0.0,0.0,0.0,0.0
CARBORUNIV,Carborundum Universal Limited,0.0,0.0,0.0,0.0,0.0
CARERATING,CARE Ratings Limited,0.0,0.0,0.0,0.0,0.0
CARRARO,Carraro India Limited,0.0,0.0,0.0,0.0,0.0
CARTRADE,Cartrade Tech Limited,0.0,0.0,0.0,0.0,0.0
CARYSIL,CARYSIL LIMITED,0.0,0.0,0.0,0.0,0.0
CASTROLIND,Castrol India Limited,0.0,0.0,0.0,0.0,0.0
CCAVENUE,AvenuesAI Limited,0.0,0.0,0.0,0.0,0.0
CCCL,Consolidated Construction Consortium Limited,0.0,0.0,0.0,0.0,0.0
CCHHL,Country Club Hospitality & Holidays Limited,0.0,0.0,0.0,0.0,0.0
CCL,CCL Products (India) Limited,0.0,0.0,0.0,0.0,0.0
CDSL,Central Depository Services (India) Limited,0.0,0.0,0.0,0.0,0.0
CEATLTD,CEAT Limited,0.0,0.0,0.0,0.0,0.0
CEIGALL,Ceigall India Limited,0.0,0.0,0.0,0.0,0.0
CEINSYS,Ceinsys Tech Limited,0.0,0.0,0.0,0.0,0.0
CELEBRITY,Celebrity Fashions Limited,0.0,0.0,0.0,0.0,0.0
CELLO,Cello World Limited,0.0,0.0,0.0,0.0,0.0
CEMPRO,Cemindia Projects Limited,0.0,0.0,0.0,0.0,0.0
CENTENKA,Century Enka Limited,0.0,0.0,0.0,0.0,0.0
CENTEXT,Century Extrusions Limited,0.0,0.0,0.0,0.0,0.0
CENTRALBK,Central Bank of India,0.0,0.0,0.0,0.0,0.0
CENTRUM,Centrum Capital Limited,0.0,0.0,0.0,0.0,0.0
CENTUM,Centum Electronics Limited,0.0,0.0,0.0,0.0,0.0
CENTURYPLY,Century Plyboards (India) Limited,0.0,0.0,0.0,0.0,0.0
CERA,Cera Sanitaryware Limited,0.0,0.0,0.0,0.0,0.0
CEREBRAINT,Cerebra Integrated Technologies Limited,0.0,0.0,0.0,0.0,0.0
CESC,CESC Limited,0.0,0.0,0.0,0.0,0.0
CEWATER,Concord Enviro Systems Limited,0.0,0.0,0.0,0.0,0.0
CGCL,Capri Global Capital Limited,0.0,0.0,0.0,0.0,0.0
CGPOWER,CG Power and Industrial Solutions Limited,0.0,0.0,0.0,0.0,0.0
CHALET,Chalet Hotels Limited,0.0,0.0,0.0,0.0,0.0
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,0.0,0.0,0.0,0.0,0.0
CHEMBOND,Chembond Material Technologies Limited,0.0,0.0,0.0,0.0,0.0
CHEMBONDCH,Chembond Chemicals Limited,0.0,0.0,0.0,0.0,0.0
CHEMCON,Chemcon Speciality Chemicals Limited,0.0,0.0,0.0,0.0,0.0
CHEMFAB,Chemfab Alkalis Limited,0.0,0.0,0.0,0.0,0.0
CHEMPLASTS,Chemplast Sanmar Limited,0.0,0.0,0.0,0.0,0.0
CHENNPETRO,Chennai Petroleum Corporation Limited,0.0,0.0,0.0,0.0,0.0
CHEVIOT,Cheviot Company Limited,0.0,0.0,0.0,0.0,0.0
CHOICEIN,Choice International Limited,0.0,0.0,0.0,0.0,0.0
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,0.0,0.0,0.0,0.0,0.0
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,0.0,0.0,0.0,0.0,0.0
CIEINDIA,CIE Automotive India Limited,0.0,0.0,0.0,0.0,0.0
CIFL,Capital India Finance Limited,0.0,0.0,0.0,0.0,0.0
CINELINE,Cineline India Limited,0.0,0.0,0.0,0.0,0.0
CINEVISTA,Cinevista Limited,0.0,0.0,0.0,0.0,0.0
CIPLA,Cipla Limited,0.0,0.0,0.0,0.0,0.0
CLCIND,CLC Industries Limited,0.0,0.0,0.0,0.0,0.0
CLEAN,Clean Science and Technology Limited,0.0,0.0,0.0,0.0,0.0
CLEANMAX,Clean Max Enviro Energy Solutions Limited,0.0,0.0,0.0,0.0,0.0
CLEDUCATE,CL Educate Limited,0.0,0.0,0.0,0.0,0.0
CLSEL,Chaman Lal Setia Exports Limited,0.0,0.0,0.0,0.0,0.0
CMICABLES,CMI Limited,0.0,0.0,0.0,0.0,0.0
CMPDI,Central Mine Planning & Design Institute Limited,0.0,0.0,0.0,0.0,0.0
CMRGREEN,CMR Green Technologies Limited,0.0,0.0,0.0,0.0,0.0
CMSINFO,CMS Info Systems Limited,0.0,0.0,0.0,0.0,0.0
CNL,Creative Newtech Limited,0.0,0.0,0.0,0.0,0.0
COALINDIA,Coal India Limited,0.0,0.0,0.0,0.0,0.0
COASTCORP,Coastal Corporation Limited,0.0,0.0,0.0,0.0,0.0
COCHINSHIP,Cochin Shipyard Limited,0.0,0.0,0.0,0.0,0.0
COCKERILL,John Cockerill India Limited,0.0,0.0,0.0,0.0,0.0
COFFEEDAY,Coffee Day Enterprises Limited,0.0,0.0,0.0,0.0,0.0
COFORGE,Coforge Limited,0.0,0.0,0.0,0.0,0.0
COHANCE,Cohance Lifesciences Limited,0.0,0.0,0.0,0.0,0.0
COLPAL,Colgate Palmolive (India) Limited,0.0,0.0,0.0,0.0,0.0
COMFINTE,Comfort Intech Limited,0.0,0.0,0.0,0.0,0.0
COMPINFO,Compuage Infocom Limited,0.0,0.0,0.0,0.0,0.0
COMPUSOFT,Compucom Software Limited,0.0,0.0,0.0,0.0,0.0
COMSYN,Commercial Syn Bags Limited,0.0,0.0,0.0,0.0,0.0
CONCOR,Container Corporation of India Limited,0.0,0.0,0.0,0.0,0.0
CONCORDBIO,Concord Biotech Limited,0.0,0.0,0.0,0.0,0.0
CONFIPET,Confidence Petroleum India Limited,0.0,0.0,0.0,0.0,0.0
CONSOFINVT,Consolidated Finvest & Holdings Limited,0.0,0.0,0.0,0.0,0.0
CONTROLPR,Control Print Limited,0.0,0.0,0.0,0.0,0.0
CORALFINAC,Coral India Finance & Housing Limited,0.0,0.0,0.0,0.0,0.0
CORDELIA,Waterways Leisure Tourism Limited,0.0,0.0,0.0,0.0,0.0
CORDSCABLE,Cords Cable Industries Limited,0.0,0.0,0.0,0.0,0.0
COROMANDEL,Coromandel International Limited,0.0,0.0,0.0,0.0,0.0
CORONA,CORONA Remedies Limited,0.0,0.0,0.0,0.0,0.0
COSMOFIRST,COSMO FIRST LIMITED,0.0,0.0,0.0,0.0,0.0
COUNCODOS,Country Condo's Limited,0.0,0.0,0.0,0.0,0.0
CPCAP,CP Capital Limited,0.0,0.0,0.0,0.0,0.0
CPEDU,Career Point Edutech Limited,0.0,0.0,0.0,0.0,0.0
CPPLUS,Aditya Infotech Limited,0.0,0.0,0.0,0.0,0.0
CRAFTSMAN,Craftsman Automation Limited,0.0,0.0,0.0,0.0,0.0
CRAMC,Canara Robeco Asset Management Company Limited,0.0,0.0,0.0,0.0,0.0
CREATIVEYE,Creative Eye Limited,0.0,0.0,0.0,0.0,0.0
CREDITACC,CREDITACCESS GRAMEEN LIMITED,0.0,0.0,0.0,0.0,0.0
CREST,Crest Ventures Limited,0.0,0.0,0.0,0.0,0.0
CRISIL,Crisil Limited,0.0,0.0,0.0,0.0,0.0
CRIZAC,Crizac Limited,0.0,0.0,0.0,0.0,0.0
CROMPTON,Crompton Greaves Consumer Electricals Limited,0.0,0.0,0.0,0.0,0.0
CROWN,Crown Lifters Limited,0.0,0.0,0.0,0.0,0.0
CSBBANK,CSB Bank Limited,0.0,0.0,0.0,0.0,0.0
CSLFINANCE,CSL Finance Limited,0.0,0.0,0.0,0.0,0.0
CSM,CSM Technologies Limited,0.0,0.0,0.0,0.0,0.0
CTE,Cambridge Technology Enterprises Limited,0.0,0.0,0.0,0.0,0.0
CUB,City Union Bank Limited,0.0,0.0,0.0,0.0,0.0
CUBEXTUB,Cubex Tubings Limited,0.0,0.0,0.0,0.0,0.0
CUMMINSIND,Cummins India Limited,0.0,0.0,0.0,0.0,0.0
CUPID,Cupid Limited,0.0,0.0,0.0,0.0,0.0
CURAA,Cura Technologies Limited,0.0,0.0,0.0,0.0,0.0
CYBERMEDIA,Cyber Media (India) Limited,0.0,0.0,0.0,0.0,0.0
CYBERTECH,Cybertech Systems And Software Limited,0.0,0.0,0.0,0.0,0.0
CYIENT,Cyient Limited,0.0,0.0,0.0,0.0,0.0
CYIENTDLM,Cyient DLM Limited,0.0,0.0,0.0,0.0,0.0
DABUR,Dabur India Limited,0.0,0.0,0.0,0.0,0.0
DAICHI,Dai-Ichi Karkaria Limited,0.0,0.0,0.0,0.0,0.0
DALBHARAT,Dalmia Bharat Limited,0.0,0.0,0.0,0.0,0.0
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,0.0,0.0,0.0,0.0,0.0
DAMCAPITAL,Dam Capital Advisors Limited,0.0,0.0,0.0,0.0,0.0
DAMODARIND,Damodar Industries Limited,0.0,0.0,0.0,0.0,0.0
DANGEE,Dangee Dums Limited,0.0,0.0,0.0,0.0,0.0
DATAMATICS,Datamatics Global Services Limited,0.0,0.0,0.0,0.0,0.0
DATAPATTNS,Data Patterns (India) Limited,0.0,0.0,0.0,0.0,0.0
DAVANGERE,Davangere Sugar Company Limited,0.0,0.0,0.0,0.0,0.0
DBCORP,D.B.Corp Limited,0.0,0.0,0.0,0.0,0.0
DBEIL,Deepak Builders & Engineers India Limited,0.0,0.0,0.0,0.0,0.0
DBL,Dilip Buildcon Limited,0.0,0.0,0.0,0.0,0.0
DBOL,Dhampur Bio Organics Limited,0.0,0.0,0.0,0.0,0.0
DBREALTY,Valor Estate Limited,0.0,0.0,0.0,0.0,0.0
DBSTOCKBRO,DB (International) Stock Brokers Limited,0.0,0.0,0.0,0.0,0.0
DCAL,Dishman Carbogen Amcis Limited,0.0,0.0,0.0,0.0,0.0
DCBBANK,DCB Bank Limited,0.0,0.0,0.0,0.0,0.0
DCI,Dc Infotech And Communication Limited,0.0,0.0,0.0,0.0,0.0
DCM,DCM  Limited,0.0,0.0,0.0,0.0,0.0
DCMFINSERV,DCM Financial Services Limited,0.0,0.0,0.0,0.0,0.0
DCMNVL,DCM Nouvelle Limited,0.0,0.0,0.0,0.0,0.0
DCMSHRIRAM,DCM Shriram Limited,0.0,0.0,0.0,0.0,0.0
DCMSIL,DCM Shriram International Limited,0.0,0.0,0.0,0.0,0.0
DCMSRIND,DCM Shriram Industries Limited,0.0,0.0,0.0,0.0,0.0
DCW,DCW Limited,0.0,0.0,0.0,0.0,0.0
DCXINDIA,DCX Systems Limited,0.0,0.0,0.0,0.0,0.0
DDEVPLSTIK,Ddev Plastiks Industries Limited,0.0,0.0,0.0,0.0,0.0
DECCANCE,Deccan Cements Limited,0.0,0.0,0.0,0.0,0.0
DECNGOLD,Deccan Gold Mines Limited,0.0,0.0,0.0,0.0,0.0
DEEDEV,DEE Development Engineers Limited,0.0,0.0,0.0,0.0,0.0
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,0.0,0.0,0.0,0.0,0.0
DEEPAKNTR,Deepak Nitrite Limited,0.0,0.0,0.0,0.0,0.0
DEEPINDS,Deep Industries Limited,0.0,0.0,0.0,0.0,0.0
DELHIVERY,Delhivery Limited,0.0,0.0,0.0,0.0,0.0
DELPHIFX,DELPHI WORLD MONEY LIMITED,0.0,0.0,0.0,0.0,0.0
DELTACORP,Delta Corp Limited,0.0,0.0,0.0,0.0,0.0
DELTAMAGNT,Delta Manufacturing Limited,0.0,0.0,0.0,0.0,0.0
DEN,Den Networks Limited,0.0,0.0,0.0,0.0,0.0
DENORA,De Nora India Limited,0.0,0.0,0.0,0.0,0.0
DENTA,Denta Water and Infra Solutions Limited,0.0,0.0,0.0,0.0,0.0
DEVIT,Dev Information Technology Limited,0.0,0.0,0.0,0.0,0.0
DEVX,Dev Accelerator Limited,0.0,0.0,0.0,0.0,0.0
DEVYANI,Devyani International Limited,0.0,0.0,0.0,0.0,0.0
DGCONTENT,Digicontent Limited,0.0,0.0,0.0,0.0,0.0
DHAMPURSUG,Dhampur Sugar Mills Limited,0.0,0.0,0.0,0.0,0.0
DHANBANK,Dhanlaxmi Bank Limited,0.0,0.0,0.0,0.0,0.0
DHANUKA,Dhanuka Agritech Limited,0.0,0.0,0.0,0.0,0.0
DHARAN,DHARAN INFRA-EPC LIMITED,0.0,0.0,0.0,0.0,0.0
DHARMAJ,Dharmaj Crop Guard Limited,0.0,0.0,0.0,0.0,0.0
DHRUV,Dhruv Consultancy Services Limited,0.0,0.0,0.0,0.0,0.0
DHUNINV,Dhunseri Investments Limited,0.0,0.0,0.0,0.0,0.0
DIACABS,Diamond Power Infrastructure Limited,0.0,0.0,0.0,0.0,0.0
DIAMINESQ,Diamines & Chemicals Limited,0.0,0.0,0.0,0.0,0.0
DIAMONDYD,Prataap Snacks Limited,0.0,0.0,0.0,0.0,0.0
DICIND,DIC India Limited,0.0,0.0,0.0,0.0,0.0
DIFFNKG,Diffusion Engineers Limited,0.0,0.0,0.0,0.0,0.0
DIGIDRIVE,Digidrive Distributors Limited,0.0,0.0,0.0,0.0,0.0
DIGISPICE,DiGiSPICE Technologies Limited,0.0,0.0,0.0,0.0,0.0
DIGITIDE,Digitide Solutions Limited,0.0,0.0,0.0,0.0,0.0
DIGJAMLMTD,Digjam Limited,0.0,0.0,0.0,0.0,0.0
DIL,Debock Industries Limited,0.0,0.0,0.0,0.0,0.0
DISAQ,Disa India Limited,0.0,0.0,0.0,0.0,0.0
DISHTV,Dish TV India Limited,0.0,0.0,0.0,0.0,0.0
DIVGIITTS,Divgi Torqtransfer Systems Limited,0.0,0.0,0.0,0.0,0.0
DIVISLAB,Divi's Laboratories Limited,0.0,0.0,0.0,0.0,0.0
DIXON,Dixon Technologies (India) Limited,0.0,0.0,0.0,0.0,0.0
DJML,DJ Mediaprint & Logistics Limited,0.0,0.0,0.0,0.0,0.0
DLF,DLF Limited,0.0,0.0,0.0,0.0,0.0
DLINKINDIA,D-Link (India) Limited,0.0,0.0,0.0,0.0,0.0
DMART,Avenue Supermarts Limited,0.0,0.0,0.0,0.0,0.0
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,0.0,0.0,0.0,0.0,0.0
DNAMEDIA,Diligent Media Corporation Limited,0.0,0.0,0.0,0.0,0.0
DODLA,Dodla Dairy Limited,0.0,0.0,0.0,0.0,0.0
DOLATALGO,Dolat Algotech Limited,0.0,0.0,0.0,0.0,0.0
DOLLAR,Dollar Industries Limited,0.0,0.0,0.0,0.0,0.0
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,0.0,0.0,0.0,0.0,0.0
DOMS,DOMS Industries Limited,0.0,0.0,0.0,0.0,0.0
DONEAR,Donear Industries Limited,0.0,0.0,0.0,0.0,0.0
DPABHUSHAN,D. P. Abhushan Limited,0.0,0.0,0.0,0.0,0.0
DPSCLTD,DPSC Limited,0.0,0.0,0.0,0.0,0.0
DPWIRES,D P Wires Limited,0.0,0.0,0.0,0.0,0.0
DRAGARWQ,Dr Agarwals Eye Hospital Limited,0.0,0.0,0.0,0.0,0.0
DRCSYSTEMS,DRC Systems India Limited,0.0,0.0,0.0,0.0,0.0
DREAMFOLKS,Dreamfolks Services Limited,0.0,0.0,0.0,0.0,0.0
DREDGECORP,Dredging Corporation of India Limited,0.0,0.0,0.0,0.0,0.0
DRREDDY,Dr. Reddy's Laboratories Limited,0.0,0.0,0.0,0.0,0.0
DSFCL,DCM Shriram Fine Chemicals Limited,0.0,0.0,0.0,0.0,0.0
DSSL,Dynacons Systems & Solutions Limited,0.0,0.0,0.0,0.0,0.0
DTIL,Dhunseri Tea & Industries Limited,0.0,0.0,0.0,0.0,0.0
DUCON,Ducon Infratechnologies Limited,0.0,0.0,0.0,0.0,0.0
DVL,Dhunseri Ventures Limited,0.0,0.0,0.0,0.0,0.0
DWARKESH,Dwarikesh Sugar Industries Limited,0.0,0.0,0.0,0.0,0.0
DYCL,Dynamic Cables Limited,0.0,0.0,0.0,0.0,0.0
DYNAMATECH,Dynamatic Technologies Limited,0.0,0.0,0.0,0.0,0.0
DYNPRO,Dynemic Products Limited,0.0,0.0,0.0,0.0,0.0
E2E,E2E Networks Limited,0.0,0.0,0.0,0.0,0.0
EASEMYTRIP,Easy Trip Planners Limited,0.0,0.0,0.0,0.0,0.0
EASTSILK,Eastern Silk Industries Limited,0.0,0.0,0.0,0.0,0.0
EBGNG,GNG Electronics Limited,0.0,0.0,0.0,0.0,0.0
ECLERX,eClerx Services Limited,0.0,0.0,0.0,0.0,0.0
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,0.0,0.0,0.0,0.0,0.0
EDELWEISS,Edelweiss Financial Services Limited,0.0,0.0,0.0,0.0,0.0
EDUCOMP,Educomp Solutions Limited,0.0,0.0,0.0,0.0,0.0
EFCIL,EFC (I) Limited,0.0,0.0,0.0,0.0,0.0
EICHERMOT,Eicher Motors Limited,0.0,0.0,0.0,0.0,0.0
EIDPARRY,EID Parry India Limited,0.0,0.0,0.0,0.0,0.0
EIEL,Enviro Infra Engineers Limited,0.0,0.0,0.0,0.0,0.0
EIFFL,Euro India Fresh Foods Limited,0.0,0.0,0.0,0.0,0.0
EIHAHOTELS,EIH Associated Hotels Limited,0.0,0.0,0.0,0.0,0.0
EIHOTEL,EIH Limited,0.0,0.0,0.0,0.0,0.0
EIMCOELECO,Eimco Elecon (India) Limited,0.0,0.0,0.0,0.0,0.0
EKC,Everest Kanto Cylinder Limited,0.0,0.0,0.0,0.0,0.0
ELANTAS,Elantas Beck India Limited,0.0,0.0,0.0,0.0,0.0
ELCIDIN,EL CID Investments Limited,0.0,0.0,0.0,0.0,0.0
ELDEHSG,Eldeco Housing And Industries Limited,0.0,0.0,0.0,0.0,0.0
ELECON,Elecon Engineering Company Limited,0.0,0.0,0.0,0.0,0.0
ELECTCAST,Electrosteel Castings Limited,0.0,0.0,0.0,0.0,0.0
ELECTHERM,Electrotherm (India) Limited,0.0,0.0,0.0,0.0,0.0
ELGIEQUIP,Elgi Equipments Limited,0.0,0.0,0.0,0.0,0.0
ELGIRUBCO,Elgi Rubber Company Limited,0.0,0.0,0.0,0.0,0.0
ELIN,Elin Electronics Limited,0.0,0.0,0.0,0.0,0.0
ELITECON,Elitecon International Limited,0.0,0.0,0.0,0.0,0.0
ELLEN,Ellenbarrie Industrial Gases Limited,0.0,0.0,0.0,0.0,0.0
ELPROINTL,Elpro International Limited,0.0,0.0,0.0,0.0,0.0
EMAMILTD,Emami Limited,0.0,0.0,0.0,0.0,0.0
EMAMIPAP,Emami Paper Mills Limited,0.0,0.0,0.0,0.0,0.0
EMAMIREAL,Emami Realty Limited,0.0,0.0,0.0,0.0,0.0
EMBDL,Embassy Developments Limited,0.0,0.0,0.0,0.0,0.0
EMCURE,Emcure Pharmaceuticals Limited,0.0,0.0,0.0,0.0,0.0
EMIL,Electronics Mart India Limited,0.0,0.0,0.0,0.0,0.0
EMKAY,Emkay Global Financial Services Limited,0.0,0.0,0.0,0.0,0.0
EMMBI,Emmbi Industries Limited,0.0,0.0,0.0,0.0,0.0
EMMVEE,Emmvee Photovoltaic Power Limited,0.0,0.0,0.0,0.0,0.0
EMPOWER,Empower India Limited,0.0,0.0,0.0,0.0,0.0
EMSLIMITED,EMS Limited,0.0,0.0,0.0,0.0,0.0
EMUDHRA,eMudhra Limited,0.0,0.0,0.0,0.0,0.0
ENDURANCE,Endurance Technologies Limited,0.0,0.0,0.0,0.0,0.0
ENERGYDEV,Energy Development Company Limited,0.0,0.0,0.0,0.0,0.0
ENGINERSIN,Engineers India Limited,0.0,0.0,0.0,0.0,0.0
ENIL,Entertainment Network (India) Limited,0.0,0.0,0.0,0.0,0.0
ENRIN,Siemens Energy India Limited,0.0,0.0,0.0,0.0,0.0
ENTERO,Entero Healthcare Solutions Limited,0.0,0.0,0.0,0.0,0.0
EPACK,EPACK Durable Limited,0.0,0.0,0.0,0.0,0.0
EPACKPEB,EPack Prefab Technologies Limited,0.0,0.0,0.0,0.0,0.0
EPIGRAL,Epigral Limited,0.0,0.0,0.0,0.0,0.0
EPL,EPL Limited,0.0,0.0,0.0,0.0,0.0
EQUIPPP,Equippp Social Impact Technologies Limited,0.0,0.0,0.0,0.0,0.0
EQUITASBNK,Equitas Small Finance Bank Limited,0.0,0.0,0.0,0.0,0.0
ERIS,Eris Lifesciences Limited,0.0,0.0,0.0,0.0,0.0
ESABINDIA,Esab India Limited,0.0,0.0,0.0,0.0,0.0
ESAFSFB,ESAF Small Finance Bank Limited,0.0,0.0,0.0,0.0,0.0
ESCORTS,Escorts Kubota Limited,0.0,0.0,0.0,0.0,0.0
ESSARSHPNG,Essar Shipping Limited,0.0,0.0,0.0,0.0,0.0
ESSENTIA,Integra Essentia Limited,0.0,0.0,0.0,0.0,0.0
ESTER,Ester Industries Limited,0.0,0.0,0.0,0.0,0.0
ETERNAL,ETERNAL LIMITED,0.0,0.0,0.0,0.0,0.0
ETHOSLTD,Ethos Limited,0.0,0.0,0.0,0.0,0.0
EUREKAFORB,Eureka Forbes Limited,0.0,0.0,0.0,0.0,0.0
EUROBOND,Euro Panel Products Limited,0.0,0.0,0.0,0.0,0.0
EUROPRATIK,Euro Pratik Sales Limited,0.0,0.0,0.0,0.0,0.0
EUROTEXIND,Eurotex Industries and Exports Limited,0.0,0.0,0.0,0.0,0.0
EVEREADY,Eveready Industries India Limited,0.0,0.0,0.0,0.0,0.0
EVERESTIND,Everest Industries Limited,0.0,0.0,0.0,0.0,0.0
EXCELINDUS,Excel Industries Limited,0.0,0.0,0.0,0.0,0.0
EXCELSOFT,Excelsoft Technologies Limited,0.0,0.0,0.0,0.0,0.0
EXICOM,Exicom Tele-Systems Limited,0.0,0.0,0.0,0.0,0.0
EXIDEIND,Exide Industries Limited,0.0,0.0,0.0,0.0,0.0
EXPLEOSOL,Expleo Solutions Limited,0.0,0.0,0.0,0.0,0.0
EXXARO,Exxaro Tiles Limited,0.0,0.0,0.0,0.0,0.0
FABTECH,Fabtech Technologies Limited,0.0,0.0,0.0,0.0,0.0
FACT,Fertilizers and Chemicals Travancore Limited,0.0,0.0,0.0,0.0,0.0
FAIRCHEMOR,Fairchem Organics Limited,0.0,0.0,0.0,0.0,0.0
FAZE3Q,Faze Three Limited,0.0,0.0,0.0,0.0,0.0
FCL,Fineotex Chemical Limited,0.0,0.0,0.0,0.0,0.0
FCONSUMER,Future Consumer Limited,0.0,0.0,0.0,0.0,0.0
FCSSOFT,FCS Software Solutions Limited,0.0,0.0,0.0,0.0,0.0
FDC,FDC Limited,0.0,0.0,0.0,0.0,0.0
FEDDERSHOL,Fedders Holding Limited,0.0,0.0,0.0,0.0,0.0
FEDERALBNK,The Federal Bank  Limited,0.0,0.0,0.0,0.0,0.0
FEDFINA,Fedbank Financial Services Limited,0.0,0.0,0.0,0.0,0.0
FEL,Future Enterprises Limited,0.0,0.0,0.0,0.0,0.0
FELDVR,Future Enterprises Limited,0.0,0.0,0.0,0.0,0.0
FERMENTA,Fermenta Biotech Limited,0.0,0.0,0.0,0.0,0.0
FIBERWEB,Fiberweb (India) Limited,0.0,0.0,0.0,0.0,0.0
FIEMIND,Fiem Industries Limited,0.0,0.0,0.0,0.0,0.0
